,,Historical,Simulated
Values,0,2.0,0.0
Values,1,1.0,0.0
Values,2,20.0,0.0
Values,3,7.0,0.0
Values,4,1.0,0.0
Values,5,2.0,0.0
Values,6,20.0,0.0
Values,7,27.0,0.0
Values,8,9.0,0.0
Values,9,13.0,0.0
Values,10,8.0,0.0
Values,11,25.0,0.0
Values,12,19.0,0.0
Values,13,85.0,0.0
Values,14,32.0,0.0
Values,15,17.0,0.0
Values,16,81.0,0.0
Values,17,56.0,0.0
Values,18,88.0,0.0
Values,19,70.0,0.0
Values,20,140.0,0.0
Values,21,112.0,0.0
Values,22,65.0,7.0
Values,23,227.0,19.0
Values,24,95.0,10.0
Values,25,95.0,12.0
Values,26,107.0,62.0
Values,27,101.0,90.0
Values,28,184.0,94.0
Values,29,193.0,81.0
Values,30,307.0,297.0
Values,31,197.0,366.0
Values,32,229.0,383.0
Values,33,523.0,292.0
Values,34,355.0,442.0
Values,35,582.0,724.0
Values,36,483.0,1050.0
Values,37,658.0,2011.0
Values,38,1372.0,2666.0
Values,39,1298.0,2772.0
Values,40,2259.0,2895.0
Values,41,2013.0,2640.0
Values,42,2235.0,2219.0
Values,43,2843.0,1439.0
Values,44,1980.0,902.0
Values,45,1738.0,488.0
Values,46,1057.0,164.0
Values,47,108.0,49.0
Values,48,34.0,20.0
Edges,0,2.305669,2.305669
Edges,1,4.340525619656697,4.340525619656697
Edges,2,6.375382239313395,6.375382239313395
Edges,3,8.410238858970093,8.410238858970093
Edges,4,10.44509547862679,10.44509547862679
Edges,5,12.479952098283487,12.479952098283487
Edges,6,14.514808717940186,14.514808717940186
Edges,7,16.549665337596885,16.549665337596885
Edges,8,18.58452195725358,18.58452195725358
Edges,9,20.61937857691028,20.61937857691028
Edges,10,22.654235196566972,22.654235196566972
Edges,11,24.689091816223673,24.689091816223673
Edges,12,26.723948435880374,26.723948435880374
Edges,13,28.758805055537067,28.758805055537067
Edges,14,30.793661675193768,30.793661675193768
Edges,15,32.82851829485046,32.82851829485046
Edges,16,34.86337491450716,34.86337491450716
Edges,17,36.89823153416386,36.89823153416386
Edges,18,38.933088153820556,38.933088153820556
Edges,19,40.96794477347726,40.96794477347726
Edges,20,43.00280139313395,43.00280139313395
Edges,21,45.03765801279065,45.03765801279065
Edges,22,47.072514632447344,47.072514632447344
Edges,23,49.107371252104045,49.107371252104045
Edges,24,51.142227871760745,51.142227871760745
Edges,25,53.17708449141744,53.17708449141744
Edges,26,55.21194111107414,55.21194111107414
Edges,27,57.24679773073083,57.24679773073083
Edges,28,59.281654350387534,59.281654350387534
Edges,29,61.31651097004423,61.31651097004423
Edges,30,63.35136758970093,63.35136758970093
Edges,31,65.38622420935762,65.38622420935762
Edges,32,67.42108082901431,67.42108082901431
Edges,33,69.45593744867101,69.45593744867101
Edges,34,71.49079406832772,71.49079406832772
Edges,35,73.52565068798441,73.52565068798441
Edges,36,75.5605073076411,75.5605073076411
Edges,37,77.5953639272978,77.5953639272978
Edges,38,79.6302205469545,79.6302205469545
Edges,39,81.6650771666112,81.6650771666112
Edges,40,83.69993378626789,83.69993378626789
Edges,41,85.7347904059246,85.7347904059246
Edges,42,87.76964702558129,87.76964702558129
Edges,43,89.80450364523799,89.80450364523799
Edges,44,91.83936026489468,91.83936026489468
Edges,45,93.87421688455139,93.87421688455139
Edges,46,95.90907350420808,95.90907350420808
Edges,47,97.94393012386477,97.94393012386477
Edges,48,99.97878674352148,99.97878674352148
Edges,49,102.01364336317818,102.01364336317818
