,Cobalt,Copper,Gold,Lead,Molybdenum,Nickel,Palladium,Platinum,Silver,Zinc,All
n,33.0,8145.0,7032.0,360.0,136.0,1626.0,82.0,723.0,1074.0,3295.0,22506.0
Mean,0.2585618181818182,0.9077347276856966,0.00035638862494311724,3.842934291666667,0.2059885955882353,1.6414358646986473,0.000899004486585366,0.00020205568188105122,0.02516857882299814,5.765558493171471,1.355627371593904
Log mean,-0.7097142578495068,-0.1809897924885374,-3.6455323864037568,0.5000173174605471,-0.7386033665110344,0.1403174288003788,-3.1625512708864525,-3.7171581637527953,-1.738346110724171,0.6720713911178984,-1.3074112193032936
std,0.21493948243422129,0.8764205226924686,0.00040949722507527606,2.2372417157981137,0.10633422576312222,0.978249420837582,0.0005627506366612803,6.0915695066101174e-05,0.017635797795034176,3.6981834082601557,2.4874742125550364
Log std,0.3158559616079875,0.3433995505673448,0.4265561477974124,0.29103398379710765,0.22286829177216913,0.2755299035695874,0.34805060986911873,0.14783585032960317,0.3942536478082343,0.28825512421304383,1.8118251361573308
KS diff from norm,0.0058563547393114535,1.7320187655084483e-13,6.836917606428202e-07,1.620404669635505e-11,6.760308815167441e-06,1.7086758936037245e-26,2.0845122679717631e-07,6.070525255397271e-06,4.372993750324645e-06,0.0020363174619276096,0.0
Shapiro diff from norm,0.0001375120918964967,1.4186763971115868e-27,1.15424216222366e-15,1.853132231000032e-11,4.3126843252139224e-07,6.468684074715585e-27,4.186385993421027e-08,9.661380880857698e-17,6.39017573465557e-20,4.855210641353542e-15,0.0
KS diff from all,0.005949445350826702,0.0,0.0,3.0264803586076917e-64,1.2853413659842715e-13,4.488238246223871e-182,5.069699352122753e-12,1.8673760235381796e-180,1.321638694392736e-161,0.0,1.0
KW diff from all,0.3940011626232096,2.3798752818454283e-102,0.0,7.443156070511142e-52,0.12531061307753336,2.4628665371538694e-95,0.0004316288964467443,1.0598538499272216e-99,1.5288592091239569e-15,0.0,1.0
