,0,1,2,3,4,5,6
0,"R2=0.980, n=20976",coef,std err,z,P>|z|,[0.025,0.975]
1,const,   -1.9868,    0.042,  -46.838, 0.000,   -2.070,   -1.904
2,log_Commodity Price (USD/t),    1.1396,    0.005,  239.062, 0.000,    1.130,    1.149
3,log_Head Grade (%),    0.1611,    0.005,   33.326, 0.000,    0.152,    0.171
4,SXEW,   -0.0596,    0.012,   -5.089, 0.000,   -0.083,   -0.037
5,Mine Type 1_Placer,    0.1628,    0.103,    1.576, 0.115,   -0.040,    0.365
6,Mine Type 1_Stock Pile,   -0.2238,    0.141,   -1.582, 0.114,   -0.501,    0.053
7,Mine Type 1_Tailings,    0.2986,    0.030,    9.795, 0.000,    0.239,    0.358
8,Mine Type 1_Underground,   -0.1032,    0.009,  -11.002, 0.000,   -0.122,   -0.085
