,Total demand,Primary supply,Scrap demand,Total demand.1,New scrap from first use production,New scrap from end use production,Old scrap,Primary commodity price
1989,,,,,,,,3091.1503400941588
1990,,,,,,,,2966.7000757574406
1991,,,,,,,,2786.136344754706
1992,,,,,,,,2472.4132793856475
1993,,,,,,,,2259.5505998499743
1994,,,,,,,,2180.7421837226425
1995,,,,,,,,2166.3837468620027
1996,,,,,,,,2192.547221481312
1997,,,,,,,,2178.032451872573
1998,,,,,,,,2118.7746690218996
1999,,,,,,,,2026.2263831303567
2000,,,,,,,,1785.285982286397
2001,9866.34884288369,8515.085081853182,1363.13866317931,9878.223745032492,1088.15517500968,495.7833984711199,1363.13866317931,1605.851788137536
2002,9828.3789110156,8549.31416805293,1372.6107941219304,9921.92496217486,1088.14382226979,455.3600131974599,1372.6107941219304,1482.8488015301984
2003,10237.2191670264,9184.29805666875,1207.7818768462103,10392.07993351496,1120.4432898624598,525.9642487386602,1207.7818768462103,1453.2457907018397
2004,11502.3667861634,10529.25918084443,1173.8843040832,11703.14348492763,1247.02153081332,526.17140176359,1173.8843040832,1876.561525755725
2005,12022.857035605,10734.55332167205,1486.2335877445698,12220.78690941662,1256.49920309445,606.8583377431501,1486.2335877445698,2309.00127331421
2006,12543.399838585501,10952.161424540769,1648.32215914429,12600.48358368506,1375.1514826452699,635.7435575018901,1648.32215914429,2406.7341790256787
2007,13026.7872895512,11106.147881979261,1875.6529264926899,12981.800808471951,1406.78260272633,717.37034785263,1875.6529264926899,2479.5198425781396
2008,13249.4040804069,11202.96788383093,2054.5098660301696,13257.4777498611,1434.6687224143,727.3655381236797,2054.5098660301696,2575.578026931314
2009,13025.236960153099,11037.335545252092,2048.3753861983605,13085.710931450452,1468.63723859071,699.5315017790697,2048.3753861983605,2259.39229153185
2010,13583.0402222264,11792.35767592063,1988.2327385452404,13780.59041446587,1500.0850794202402,697.2637015317396,1988.2327385452404,1923.3475798616855
2011,14066.2700125753,12297.24689874724,1802.8929011053401,14100.13979985258,1549.33701250107,758.1289711573602,1802.8929011053401,1911.5030872132215
2012,14475.0577150472,12668.752100066707,1688.2287914846302,14356.980891551339,1613.36949214588,853.0206287957799,1688.2287914846302,1938.6186576518535
2013,14809.4296064115,12807.815407677399,1885.3140730854702,14693.12948076287,1716.36272388476,818.4052199669998,1885.3140730854702,1935.447794258246
2014,15255.5040447455,13084.447286886709,2086.6991979336003,15171.146484820309,1810.0214765443402,846.1877722959798,2086.6991979336003,2005.9329682334835
2015,15664.3705775258,13466.31015537981,2166.099735921771,15632.40989130158,1891.68627690427,901.8606834443699,2166.099735921771,2260.341377095856
2016,16073.184556767199,13696.618894692318,2190.7136000776104,15887.332494769928,1981.17985470184,933.7336836059296,2190.7136000776104,2481.264489498243
2017,16593.7273597477,14227.602753560419,2307.7224017318,16535.32515529222,2076.1859349558904,996.0144994482998,2307.7224017318,2598.759972426282
2018,17077.0097036355,14359.8593629138,2623.01904496183,16982.87840787563,2132.64108847451,973.68397371952,2623.01904496183,2682.748585772956
2019,17448.642054092597,14240.812392276797,3026.2637033371398,17267.07609561394,2180.83759065291,1013.37382187708,3026.2637033371398,2748.8933356690713
2020,16889.367292929597,13427.328141662838,3290.9978690417297,16718.326010704568,1960.72575347719,1026.1148186739704,3290.9978690417297,2719.3527216890993
2021,,,,,,,,2691.294539505631
2022,,,,,,,,2738.0667748841224
